variable_name,variable_value,n_rows,avg_query_p95_pct_vs_query_baseline,median_query_p95_pct_vs_query_baseline,avg_query_avg_pct_vs_query_baseline
D_value,2,24,-24.029561987611967,-50.549771325633785,-11.530356091082833
D_value,1,32,107.3687003488691,-2.0329944264719444,54.191644508938765
D_value,0,24,,,
Rc,4,24,-39.52787542486577,-44.01660649470657,-33.48164004359699
Rc,2,24,-2.5558363914146494,14.068958688519917,9.737885271784092
Rc,1,8,469.9126820039113,469.9126820039113,243.11417469133545
Rc,0,24,,,
document_candidate_assessment,Document candidate with stronger trade-offs,48,-19.80945460702517,-30.180831209139818,-10.431226542060415
document_candidate_assessment,Strong document candidate,8,469.9126820039113,469.9126820039113,243.11417469133545
document_candidate_assessment,Structurally neutral for document,24,,,
query_sharedness_class,High sharedness,48,-19.80945460702517,-30.180831209139818,-10.431226542060415
query_sharedness_class,Low sharedness,8,469.9126820039113,469.9126820039113,243.11417469133545
query_sharedness_class,Not applicable,24,,,
query_type,select,64,36.62221194027182,-33.316597481384036,9.852101466193902
query_type,insert,8,43.32419257954655,43.29092379288651,63.94351024168336
query_type,update,8,,,
query_volatility_class,Low volatility exposure,72,-19.80945460702517,-30.180831209139818,-10.431226542060415
query_volatility_class,No volatility exposure,8,469.9126820039113,469.9126820039113,243.11417469133545
selected_DeltaR_ratio,1.0,56,37.80491440602617,-27.374249774476432,19.397644191280275
selected_document_depth,2.0,24,-24.029561987611967,-50.549771325633785,-11.530356091082833
selected_document_depth,1.0,32,107.3687003488691,-2.0329944264719444,54.191644508938765
selected_structural_coverage,Full absorption,56,37.80491440602617,-27.374249774476432,19.397644191280275
selected_structural_coverage,No structural traversal,24,,,
